,name,slug
0,Kenya Gachatha,/review/kenya-gachatha-2
1,Ethiopia Suke Quto Single-Origin Espresso,/review/ethiopia-suke-quto-single-origin-espresso
2,Ethiopia Gera Limu,/review/ethiopia-gera-limu
3,Peru Tambopata,/review/peru-tambopata
4,Panama Pacamara Natural,/review/panama-pacamara-natural
5,Panama Geisha,/review/panama-geisha-3
6,Costa Rica Cloza Estate,/review/costa-rica-cloza-estate
7,Ka’u Pink Honey,/review/kau-pink-honey
8,Kona Maragogype Pink Honey,/review/kona-maragogype-pink-honey
9,RD1 Espresso Blend,/review/rd1-espresso-blend
10,Ecuador La Hormiga “Naty”,/review/ecuador-la-hormiga-naty
11,Bull Espresso Blend,/review/bull-espresso-blend
12,Guatemala Coffea Diversa Geisha Queen Honey,/review/guatemala-coffea-diversa-geisha-queen-honey
13,Ethiopia Yirgacheffe Gotiti Natural,/review/ethiopia-yirgacheffe-gotiti-natural
14,Ethiopia Demeka Becha,/review/ethiopia-demeka-becha
15,Costa Rica Anaerobic,/review/costa-rica-anaerobic-2
16,Rwanda Triple-Washed,/review/rwanda-triple-washed
17,Trust the Process — Full Natural,/review/trust-the-process-full-natural
18,Colombia Finca El Caucho Pink Bourbon,/review/colombia-finca-el-caucho-pink-bourbon
19,Colombia Antioquia Natural Carbonic Maceration Caturra,/review/colombia-antioquia-natural-carbonic-maceration-caturra
20,Colombia La Gallera Estate,/review/colombia-la-gallera-estate
21,Colombia Pink Bourbon/Pink Lemonade Collaboration,/review/colombia-pink-bourbon-pink-lemonade-collaboration
22,Colombia Finca El Paraiso,/review/colombia-finca-el-paraiso
23,Aces La Juntas,/review/aces-la-juntas
24,Colombia Finca Potosi,/review/colombia-finca-potosi
25,Finca La Maria Geisha Natural,/review/finca-la-maria-geisha-natural-2
26,Colombia Java El Edén Limited Edition,/review/colombia-java-el-eden-limited-edition
27,Colombia Diofanor Ruiz,/review/colombia-diofanor-ruiz
28,Bright Minds,/review/bright-minds
29,Finca Potosi Anaerobic,/review/finca-potosi-anaerobic
30,Angamaza,/review/angamaza
31,Colombia La Virgen Microlot,/review/colombia-la-virgen-microlot
32,Rayo del Sol,/review/rayo-del-sol
33,Rock the House Blend,/review/rock-the-house-blend
34,Honduras Catuai/Bourbon,/review/honduras-catuai-bourbon
35,Ethiopia Rhapsody Espresso,/review/ethiopia-rhapsody-espresso
36,Classic Espresso Blend,/review/classic-espresso-blend
37,Kona Geisha Champagne Natural,/review/kona-geisha-champagne-natural
38,Dafis Abafita Natural Ethiopia,/review/dafis-abafita-natural-ethiopia
39,Berg Wu Championship Sidamo Washed G1 Lot 20-02,/review/berg-wu-championship-sidamo-washed-g1-lot-20-02
40,Ka’u Yellow Bourbon,/review/kau-yellow-bourbon
41,Ethiopia Natural Hambela Wate,/review/ethiopia-natural-hambela-wate
42,Kenya Nyeri,/review/kenya-nyeri-3
43,Kinini Village Rwanda,/review/kinini-village-rwanda
44,Ethiopia Natural Guji Uraga G1 Lot 20-05,/review/ethiopia-natural-guji-uraga-g1-lot-20-05
45,Ethiopia Honey Yirgacheffe Koke,/review/ethiopia-honey-yirgacheffe-koke
46,Ka’u Lehua Black Honey,/review/kau-lehua-black-honey
47,Espresso Havana,/review/espresso-havana-4
48,Taiwan Taitung Luan Mountain Valley of Tears,/review/taiwan-taitung-luan-mountain-valley-of-tears
49,Thailand Robusta Panid Choosit Espresso,/review/thailand-robusta-panid-choosit-espresso
50,Kenya Nyeri Muchoki Estate AA,/review/kenya-nyeri-muchoki-estate-aa
51,Thailand Robusta Panid Choosit,/review/thailand-robusta-panid-choosit
52,Bright House Signature Coffee,/review/bright-house-signature-coffee
53,Ethiopia Uraga Dambi Uddo Wet-Fermented,/review/ethiopia-uraga-dambi-uddo-wet-fermented
54,Guoxing Taiwan Coffee,/review/guoxing-taiwan-coffee
55,Peru El Corazon Gesha,/review/peru-el-corazon-gesha
56,Fruity Espresso Blend,/review/fruity-espresso-blend-2
57,Ethiopia Yirgacheffe Cleopatra Natural,/review/ethiopia-yirgacheffe-cleopatra-natural
58,Ethiopia Hambela Benti G1 Washed,/review/ethiopia-hambela-benti-g1-washed
59,Taiwan Alluring Scent Estate Natural,/review/taiwan-alluring-scent-estate-natural
60,Revolution Medium Roast,/review/revolution-medium-roast
61,Guatemala Sierra Roja Geisha,/review/guatemala-sierra-roja-geisha
62,Independence Dark Roast,/review/independence-dark-roast
63,Ethiopia Yirgacheffe Dumerso G1 Natural,/review/ethiopia-yirgacheffe-dumerso-g1-natural
64,Guatemala Acetenango Gesha Lot 2,/review/guatemala-gesha
65,Guatemala Santa Felisa Solar Eclipse Gesha Natural,/review/guatemala-santa-felisa-solar-eclipse-gesha-natural
66,Guatemala Acatenango,/review/guatemala-acatenango
67,Kenya Gachatha AB,/review/kenya-gachatha-ab
68,Coral,/review/coral
69,Zafiro,/review/zafiro
70,Colombia La Esperanza Winey Natural,/review/columbia-la-esperanza-winey-natural
71,Costa Rica Cumbres Del Poas Anaerobic,/review/costa-rica-cumbres-del-poas-anaerobic
72,Costa Rica Las Lajas Red Honey,/review/costa-rica-las-lajas-perla-negra
73,Papua New Guinea Kenta,/review/papua-new-guinea-kenta
74,Ethiopia Guji Goro Muda Washed G1,/review/ethiopia-guji-goro-muda-washed-g1
